Date,_VA_LogRet,Vol_5d,3M_Interest_Rate_Change,_MKT_LogRet,Synthetic_Bond_Return,_TY_LogRet,Copper_Gold_Trend_3M,_DXY_LogRet,_GR_LogRet,Close_LogRet_Lag2,_TY,Close_LogRet_Lag3,RR_Volatility_13W,NYF_ZScore_1Y,Y10,Inflation_Proxy,CAPE_Yield,RR_Momentum_1Y,Return_5d,_DXY,Target_Return_5D
2010-02-07,-0.010645963622383434,0.016700413940864463,0.038,-0.00781316119435612,0.0012649600000000012,0.002018365193292482,-0.0021510879059049026,0.01225781451799851,-0.0032955360847897346,-0.005489350382538535,422.054,0.0128895204452028,0.026865763170572234,-0.23041025556964576,3.572,2.129,5.9073724007561434,0.01399999999999979,-0.0071774500799463865,80.44,-0.002744592819371894
2010-02-14,0.004923834569136788,0.013586877079585538,0.035,0.01200094369322102,-0.009582184999999991,-0.009070664609665912,0.062050837845938345,-0.0014929089610322885,0.015859848620798356,-0.0022350694280074235,418.243,0.01295584177358637,0.028462300751532124,-0.1876133346356828,3.694,2.1310000000000002,5.838393274170948,-0.16300000000000003,0.008703485460364906,80.32,-0.0010458578339902491
2010-02-21,0.032370993849267886,0.008262817908759539,0.087,0.031614989769053345,-0.006609540000000007,-0.006255132054150838,0.10829164179658268,0.003976148379639417,0.030241352921938667,0.004229004596710374,415.635,0.017840653536261433,0.03382932273769717,-0.5525193275466846,3.778,2.1060000000000003,5.658669081032141,-0.127,0.028068684610417144,80.64,0.0014053791778985136
2010-02-28,-0.0029702412578446894,0.007745154303766202,0.094,-0.002872379654279965,0.013137093750000004,0.0143681147495968,0.11842436170794368,-0.0034782643763248086,-0.005522318562087089,0.009673519697189884,421.65,-0.0121766449451987,0.03711054173224375,-0.5440681695261197,3.613,2.121,5.676657584014532,-0.127,-0.004228346368936351,80.36,0.014007480947064943
2010-03-07,0.02927838287119404,0.005742940781006486,0.099,0.03129718966493965,-0.005511624999999987,-0.005152585368376511,0.13607563257064315,0.0008707009692441128,0.03187842311798345,0.00042910952140039855,419.483,0.0023277310028862693,0.03883825763829596,-0.5554767586462139,3.683,2.1510000000000002,5.526083112290009,-0.127,0.03050353682906576,80.43,-0.00021734594703937127
2010-03-14,0.009645646603573586,0.0049258904222893845,0.125,0.010387328649620926,-0.0018150162500000105,-0.0011568540112180874,0.09496832586581472,-0.007487867258270262,0.012361523703977747,0.00451435490421295,418.998,0.0017112720239721047,0.03921832381738695,-0.5324830774705396,3.706,2.149,5.4707587942447615,-0.015000000000000124,0.009866020239421788,79.83,-0.005086446449439896
2010-03-21,0.011287715204822952,0.0035428213759051384,0.111,0.007651375091147632,0.0011067349999999835,0.0018026787530235028,0.08876095544050666,0.011087002387645976,0.003955681614397612,0.005804795332563638,419.754,0.007749014983159959,0.0503040753813118,-0.6256873193351172,3.692,2.068,5.430945527616358,0.07299999999999995,0.00858057736085769,80.72,0.000737722599547963
2010-03-28,0.00567457591546635,0.005416954105995837,0.09200000000000001,0.006380071054859147,-0.012388384999999993,-0.012349801477359026,0.04685278521895153,0.011822797811056626,0.005760809873062296,-0.0055084478872883084,414.602,0.0071453777848001715,0.05561993278534077,-0.600462169929519,3.85,2.051,5.398110661268556,0.07299999999999995,0.005751118529351659,81.68,0.00792799084446738
2010-04-04,0.012136202688579045,0.004252861877160026,0.10600000000000001,0.010294866718927202,-0.0018938400000000019,-0.0011704813220690224,0.042061478392979135,-0.004786166097929134,0.009275991151750354,4.26584629303888e-05,414.117,0.005667146312798056,0.05680939792214662,-0.5755506424370614,3.874,2.078,5.353892279687333,0.07299999999999995,0.010555467079208406,81.29,0.00668390656297202
2010-04-11,0.013669906824829926,0.005386134563669304,0.10600000000000001,0.014896704921214579,-0.0007106962499999919,-2.41477941600312e-06,0.03693622418490983,-0.002463358802015035,0.015240859057159193,-0.005894042967262019,414.116,0.001682878875349027,0.05414510418922116,-0.5509043992974234,3.883,2.068,5.2764879696074285,0.07299999999999995,0.013715895078861486,81.09,-0.016126534744455467
